Attack,Epsilon,Def0,Def1,Def2,Def3,Def4,Def5,Def6,Def7,Def8,Def9,Def10,Def11
PGD,0.1,0.5234451561462188,0.8827732400984971,0.72953442686379,0.8163627429053035,0.7011635398973813,0.6547073536931972,0.7995164618054761,0.523161493572881,0.635682269989923,0.7832400858548039,0.7951437268210924,0.6761032528676261
PGD,0.2,0.050582490899224564,0.7204571513549458,0.6239780935808816,0.6852788760694473,0.4550691564782191,0.6092319245005637,0.7714171396610818,0.05029642061308273,0.49631956411811157,0.5091096771540256,0.6271619611840289,0.5201426611672431
PGD,0.3,0.008249288629382434,0.6156042132009254,0.4799460865934799,0.5905280212840485,0.35350987957604085,0.5773438658337946,0.7587806419297471,0.008266838167288359,0.347982710945419,0.3117820768980014,0.5523780861956957,0.37782891378161776
DF,0.01,0.08230036762558025,0.325103124633326,0.40619238549152287,0.25939206849505303,0.21141776935723766,0.11063901515489573,0.5697981803303473,0.08666609957053537,0.30191826714039316,0.1224371252337356,0.33983732054960036,0.1729704523066436
DF,0.1,0.10083944624702497,0.30459352303144493,0.4041905204537265,0.2609371268652171,0.20921211095961245,0.10840214727412692,0.5302817162350931,0.10244958335808813,0.3022517091030645,0.11977597210837185,0.3397745859959611,0.1704108992107775
DF,0.2,0.11634683787586446,0.2920547508729052,0.4023283912143354,0.260969925430358,0.20696728801101993,0.1045633664278911,0.5019289714326498,0.11638276301832463,0.30316793378781515,0.11761794150235322,0.33867358157031296,0.1674866619563759
DF,0.3,0.12574959692608464,0.28283307982230105,0.39941996247086786,0.25998723951980557,0.2036883320625173,0.1028277431234352,0.46786794785474617,0.12586312506927202,0.30274185669884485,0.1159315350515889,0.33839624906967913,0.16572242447531382
AutoPGD,0.01,0.8646126668192522,0.9045322719529547,0.9050014892048166,0.9050415470554154,0.8583579493819478,0.8562741759535404,0.8817187151902672,0.8674095954099301,0.8865522866204734,0.9056281772046733,0.9116251633038122,0.8641269817254544
AutoPGD,0.1,0.478535036914027,0.8886983846803949,0.7409570692070965,0.8241387232509794,0.7381756303631761,0.7128992584474749,0.8153571769412522,0.4814451651478747,0.6916645112031801,0.7818519874968588,0.807122042307649,0.7065852873459695
AutoPGD,0.2,0.0194716016525072,0.7260149556262225,0.6309844980959401,0.7141550130063279,0.47194271193618986,0.6506062277760252,0.7961939249217822,0.021310617527347368,0.5306986779899712,0.5094930296000808,0.6588903798708503,0.5355679220520315
AutoPGD,0.3,0.001646825918236845,0.6532935244529501,0.517448689868317,0.6211556287787634,0.4019254124485205,0.6110153453644986,0.7814899055804869,0.0028128240175955715,0.4007760144572385,0.31680137657100915,0.5813658423217647,0.4046217146857377
ZOO,0.01,0.8363730738482078,0.904382586139336,0.903286098974683,0.9040902043412322,0.8625525329783683,0.8586826774011072,0.883140076443942,0.8432816728111536,0.8837560040208574,0.9048294823190266,0.911377118588141,0.8648505180763246
ZOO,0.1,0.8358529013267217,0.9043648764845982,0.9032051708255431,0.9038807713461272,0.8624185949400317,0.8584756033730196,0.8830295015153566,0.842076565918735,0.883583933664333,0.904662924243131,0.9114910815095421,0.8648265312626953
ZOO,0.2,0.8342424117962287,0.904347177941827,0.9030951027434924,0.9037989710430077,0.8625216558622217,0.8580723256347088,0.882911951551282,0.8400998104544422,0.8833062020710885,0.9046844731115293,0.9113911253726689,0.8647145044322062
ZOO,0.3,0.8345696194896868,0.904382586139336,0.9034651435307312,0.9039074833757699,0.8624993043515798,0.8585764440702597,0.8829450297288455,0.8393799741458903,0.8831707999509781,0.9046924785540293,0.9112247924935705,0.8646139358431353
CaFA,0.01,0.30161557212150353,0.736577186112791,0.6459175283737656,0.7796941202217751,0.6296205616849291,0.5056467188040071,0.8266450100069147,0.3116180077631878,0.6824354282010134,0.7161471955455783,0.6913755966213373,0.5887229724484325
CaFA,0.1,0.2912931242211057,0.7366917653239502,0.6473838403367191,0.7867254351455399,0.6276498560266102,0.4985407389323323,0.8300141744807805,0.30582275545282905,0.6830370634328833,0.7245570051990409,0.6942348274664778,0.590409335222162
CaFA,0.2,0.28519273064453915,0.7334508429421616,0.6393969539442537,0.7846087037577701,0.6363421786923189,0.509332567773553,0.8272330028601279,0.30023157955598945,0.6913559547661183,0.7205271237069376,0.6855676082053692,0.58988517518221
CaFA,0.3,0.2744182519866878,0.7234689595258628,0.6251568312940822,0.7795414693764365,0.6474023764648642,0.5218229244409895,0.8201150249402568,0.2907343387257557,0.7004505690878239,0.7061838800112032,0.6706755100271856,0.5838256483301032
SINIFGSM,0.01,0.8843584551191599,0.8158474555316091,0.8961399753224233,0.8934429799224731,0.8465325467841746,0.8270064471543398,0.877887107380296,0.8842479783382484,0.8808920073972368,0.8996637304561791,0.9076287636173301,0.8565860124041039
SINIFGSM,0.1,0.5723912290864396,0.7556893853619537,0.7020738547206364,0.8246692301231922,0.7274121929580446,0.7596717626986861,0.8024289890882104,0.5722730974419923,0.6995246633161651,0.8094342895433854,0.8222023072549944,0.7006543820129403
SINIFGSM,0.2,0.05131757049513569,0.5629989540956742,0.48423429412740715,0.7650628113303073,0.4749514243684445,0.6387060403375486,0.7752418878451701,0.05064363305401204,0.493745548131839,0.5139591029215225,0.5822072378432813,0.49592964974549336
SINIFGSM,0.3,0.0022883049032930325,0.44122157911248816,0.27988626641870207,0.6390730709970718,0.3039313316764742,0.5892669391858939,0.7719858404347784,0.0023758070499734717,0.31062136815520225,0.335758475006413,0.4403697951794203,0.35641819996119717
VNIFGSM,0.01,0.8651897939740362,0.8174631396413985,0.8905260495870133,0.8930204431877544,0.8480243982428727,0.8255010873387285,0.8733032222760204,0.8652879881077582,0.879353564047412,0.8969140394301254,0.9043952044194705,0.8542260071004764
VNIFGSM,0.1,0.5064355187083666,0.7686959196935232,0.6017115281702325,0.8193147897986119,0.7696616111350005,0.6792797823961545,0.7943980146825713,0.5061373611643175,0.6534851237931938,0.7435686661649774,0.7880779358288117,0.6652409506280146
VNIFGSM,0.2,0.07866556176640613,0.6372507274113471,0.34998298546206025,0.718831701447787,0.6107503434187816,0.591517901282793,0.7749049738034783,0.0788159600069803,0.46362057027630144,0.4911781668652416,0.5292301956299156,0.55037648104954
VNIFGSM,0.3,0.06290473334640609,0.6158091874429192,0.360416581046773,0.7198711090039698,0.5757451796500288,0.5966997694169018,0.7734540247330466,0.06295146552471338,0.45244626863976534,0.4855298563864051,0.525752982975072,0.5272533008588725
